cell_index,raw_cell,start_time,end_time,duration,wallclock_start_time,wallclock_end_time,cell_magics
0,%reload_ext bali,11781717.79052732,11781774.890030757,57.09950343705714,1773402882.5362608,1773402939.6357663,['reload_ext bali']
1,%perfmonitor_start,11781774.89565422,11781774.904200805,0.008546585217118263,1773402939.641388,1773402939.6499362,['perfmonitor_start']
2,#facebook/opt-1.3b facebook/opt-6.7b facebook/opt-13b #1 2 4 8 16 32 64 128 ,11781774.90844741,11781774.927955613,0.019508201628923416,1773402939.6541808,1773402939.6736896,[]
3,"%%bali_config
model_name:facebook/opt-1.3b  
frameworks: hf_accelerate
batch_size: 150 200
input_len: 512
output_len: 128
warm_up_reps: 0
num_samples: 600
data: BALI/bali/data/prompts.txt
repeats: 1",11781774.931282649,11781774.959955076,0.02867242693901062,1773402939.677016,1773402939.7056894,[]
4,%bali_config_show,11781774.9649296,11781774.996041756,0.031112156808376312,1773402939.710663,1773402939.7417765,[]
5,%bali_run,11781775.001482308,11781906.437106201,131.43562389351428,1773402939.7472155,1773403071.1828408,[]
6,%matplotlib ipympl,11781906.442433935,11781906.514308803,0.07187486812472343,1773403071.1881676,1773403071.2600434,['matplotlib ipympl']
7,%perfmonitor_plot,11781906.518067585,11781906.826360079,0.308292493224144,1773403071.263801,1773403071.5720947,['perfmonitor_plot']
