time,memory,io_read_count,io_write_count,io_read,io_write,cpu_util_avg,cpu_util_min,cpu_util_max,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,cpu_util_6,cpu_util_7,cpu_util_8,cpu_util_9,cpu_util_10,cpu_util_11,cpu_util_12,cpu_util_13,cpu_util_14,cpu_util_15,cpu_util_16,cpu_util_17,cpu_util_18,cpu_util_19,cpu_util_20,cpu_util_21,cpu_util_22,cpu_util_23,cpu_util_24,cpu_util_25,cpu_util_26,cpu_util_27,cpu_util_28,cpu_util_29,cpu_util_30,cpu_util_31,cpu_util_32,cpu_util_33,cpu_util_34,cpu_util_35,cpu_util_36,cpu_util_37,cpu_util_38,cpu_util_39,cpu_util_40,cpu_util_41,cpu_util_42,cpu_util_43,cpu_util_44,cpu_util_45,cpu_util_46,cpu_util_47,cpu_util_48,cpu_util_49,cpu_util_50,cpu_util_51,cpu_util_52,cpu_util_53,cpu_util_54,cpu_util_55,cpu_util_56,cpu_util_57,cpu_util_58,cpu_util_59,cpu_util_60,cpu_util_61,cpu_util_62,cpu_util_63,gpu_util_avg,gpu_util_min,gpu_util_max,gpu_band_avg,gpu_band_min,gpu_band_max,gpu_mem_avg,gpu_mem_min,gpu_mem_max,gpu_power_avg,gpu_power_min,gpu_power_max,gpu_util_0,gpu_band_0,gpu_mem_0,gpu_power_0,cell_index
11781784.920559796,105.78879928588867,38140297.61213298,31187.972035061182,36816486.30569023,4070974.2940171612,36.0359375,0.0,100.0,31.7,43.4,100.0,100.0,100.0,10.1,43.6,41.4,59.2,100.0,59.2,15.2,36.4,1.0,57.1,46.0,76.5,100.0,0.0,17.3,67.0,5.1,0.0,0.0,1.0,0.0,1.0,21.2,2.0,15.3,21.6,2.0,93.9,100.0,27.3,71.4,70.4,0.0,100.0,0.0,0.0,0.0,24.7,0.0,4.0,19.0,46.2,39.2,7.1,96.0,1.0,99.0,28.6,100.0,100.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,59.2,38.0,98.0,98,98,0.0,0.0,0.0,58.9417724609375,58.9417724609375,58.9417724609375,543.356,543.356,543.356,98,0.0,58.9417724609375,543.356,5
11781785.920774752,105.89684677124023,37823931.492475025,30904.35690140007,36479326.52432286,4033692.930675574,36.509375,0.0,100.0,3.1,28.3,83.5,91.9,82.8,15.2,43.1,44.1,16.2,85.9,100.0,86.1,100.0,4.0,63.0,49.0,100.0,26.3,0.0,18.8,10.2,61.0,0.0,0.0,1.0,3.0,0.0,1.0,16.5,9.1,3.1,2.1,100.0,62.6,98.0,2.0,100.0,5.1,20.6,93.9,1.0,0.0,5.1,0.0,16.3,26.5,44.1,40.0,2.0,52.0,87.0,48.0,37.4,41.4,100.0,55.6,2.0,43.3,6.2,0.0,0.0,0.0,60.8,37.4,99.0,99,99,0.0,0.0,0.0,58.9417724609375,58.9417724609375,58.9417724609375,544.67,544.67,544.67,99,0.0,58.9417724609375,544.67,5
11781786.91957349,106.02894592285156,37910526.501331575,30948.176890456536,36531051.389337294,4039412.3954307633,36.203125,0.0,100.0,6.9,65.3,96.1,58.6,13.0,56.0,40.8,43.6,44.4,47.5,100.0,73.7,100.0,5.1,60.0,48.0,100.0,100.0,0.0,16.2,2.9,70.4,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,9.1,78.8,1.0,18.8,74.3,100.0,100.0,41.0,100.0,13.1,23.0,1.0,13.0,6.0,30.0,45.7,40.6,52.0,12.0,38.4,15.8,95.0,7.9,100.0,24.2,1.0,2.0,5.0,12.1,1.0,0.0,62.0,36.7,99.0,99,99,0.0,0.0,0.0,58.9417724609375,58.9417724609375,58.9417724609375,548.702,548.702,548.702,99,0.0,58.9417724609375,548.702,5
11781787.920466864,106.09997940063477,37866841.71388158,30884.408644361665,36454600.37485366,4030958.842527038,36.30625,0.0,100.0,10.1,76.0,100.0,21.2,13.9,64.6,44.2,42.6,83.8,2.0,100.0,45.5,61.4,11.9,59.6,44.6,100.0,100.0,0.0,17.0,29.6,40.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,8.1,1.0,2.0,3.0,1.0,0.0,0.0,100.0,100.0,100.0,100.0,26.0,73.0,19.0,44.0,38.8,9.1,43.7,41.4,100.0,100.0,97.0,1.0,38.8,1.0,100.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,59.0,35.7,99.0,99,99,0.0,0.0,0.0,58.9417724609375,58.9417724609375,58.9417724609375,551.975,551.975,551.975,99,0.0,58.9417724609375,551.975,5
11781788.927463412,106.11810684204102,37672776.61751318,30699.2114992226,36233657.48333011,4010595.675635775,36.4109375,0.0,100.0,8.0,44.1,93.0,53.5,62.0,95.1,41.0,43.7,97.0,92.0,28.4,59.4,25.3,1.0,59.4,44.7,100.0,99.0,1.0,17.8,71.0,1.0,2.0,3.9,2.0,1.0,1.0,1.9,0.0,1.0,2.9,2.0,0.0,65.3,0.0,0.0,100.0,100.0,100.0,100.0,90.1,16.7,9.0,9.7,39.8,48.5,45.8,39.8,36.6,100.0,47.0,2.0,16.5,9.8,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,37.6,98.0,98,98,0.0,0.0,0.0,58.9417724609375,58.9417724609375,58.9417724609375,544.871,544.871,544.871,98,0.0,58.9417724609375,544.871,5
11781789.921082895,106.14907455444336,38213099.33127094,31113.52034661287,36721469.96468646,4064590.186930944,36.0625,0.0,100.0,3.1,32.3,54.5,83.7,89.9,98.0,45.1,41.6,42.4,42.0,58.6,67.7,4.0,46.5,57.6,42.2,100.0,80.4,1.0,18.2,56.1,16.5,0.0,0.0,3.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,100.0,0.0,0.0,70.4,100.0,100.0,100.0,80.8,42.9,43.9,23.5,0.0,11.2,44.1,40.2,2.0,100.0,100.0,1.0,13.4,2.0,100.0,41.4,1.0,0.0,1.0,0.0,0.0,0.0,58.0,37.8,99.0,99,99,0.0,0.0,0.0,58.9417724609375,58.9417724609375,58.9417724609375,547.921,547.921,547.921,99,0.0,58.9417724609375,547.921,5
11781790.920925444,106.2235221862793,38008188.43704987,30919.868372144858,36492913.85516209,4039291.9916019104,36.09375,0.0,100.0,4.0,24.0,37.4,79.0,33.0,98.0,42.5,40.6,88.1,1.0,76.0,100.0,16.2,36.4,56.0,42.2,100.0,100.0,1.0,17.8,70.7,0.0,0.0,1.0,2.0,1.0,1.0,1.0,17.0,1.0,0.0,4.0,0.0,100.0,0.0,0.0,2.0,96.0,100.0,100.0,30.3,35.0,24.0,69.3,15.0,31.7,43.8,40.8,32.7,100.0,100.0,2.9,1.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,35.6,99.0,99,99,0.0,0.0,0.0,58.9417724609375,58.9417724609375,58.9417724609375,547.981,547.981,547.981,99,0.0,58.9417724609375,547.981,5
11781791.92733429,106.30318450927734,37792919.00200657,30718.132221009826,36254816.46431178,4012937.7002482503,36.171875,0.0,100.0,28.4,88.0,34.7,77.5,43.4,100.0,43.7,43.1,76.2,24.2,2.0,100.0,73.7,26.7,59.2,47.1,100.0,84.2,2.0,16.2,38.0,33.3,0.0,1.0,6.1,2.0,1.0,1.0,0.0,1.0,2.9,3.0,1.0,100.0,0.0,0.0,44.6,36.0,100.0,75.5,24.0,29.6,45.0,76.8,17.2,11.0,44.2,37.5,5.9,100.0,100.0,6.1,0.0,1.0,99.0,99.0,2.0,1.0,0.0,0.0,0.0,0.0,60.0,39.0,99.0,99,99,0.0,0.0,0.0,58.9417724609375,58.9417724609375,58.9417724609375,548.988,548.988,548.988,99,0.0,58.9417724609375,548.988,5
11781792.921840183,106.40971755981445,38278357.37439287,31085.78863529333,36688739.84630239,4060967.387567822,36.81875,0.0,100.0,16.3,56.1,100.0,23.2,44.0,61.6,43.3,42.6,38.8,85.1,34.3,70.0,45.0,5.1,64.7,49.0,100.0,100.0,30.6,17.8,0.0,42.0,0.0,0.0,3.0,3.0,3.0,0.0,4.0,22.2,0.0,1.0,62.6,100.0,1.0,0.0,2.0,27.3,99.0,100.0,84.0,29.7,36.3,21.2,15.0,0.0,45.2,41.4,20.6,65.3,100.0,56.6,73.3,46.0,100.0,20.2,2.0,0.0,0.0,0.0,0.0,0.0,63.0,39.0,99.0,99,99,0.0,0.0,0.0,58.9417724609375,58.9417724609375,58.9417724609375,550.955,550.955,550.955,99,0.0,58.9417724609375,550.955,5
11781793.92135684,106.36999130249023,38124925.43023237,30931.950753556364,36504812.3593084,4044706.9823346864,35.9671875,0.0,100.0,16.2,38.0,76.2,75.8,71.7,0.0,42.3,43.7,100.0,77.0,13.1,100.0,1.0,1.0,58.6,46.1,100.0,100.0,67.7,15.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,19.2,11.0,30.0,98.0,100.0,20.0,0.0,5.0,11.0,43.4,100.0,74.0,5.1,29.3,16.0,10.1,0.0,44.2,39.6,1.0,96.0,100.0,100.0,31.6,65.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,58.6,38.4,99.0,99,99,0.0,0.0,0.0,58.9417724609375,58.9417724609375,58.9417724609375,551.665,551.665,551.665,99,0.0,58.9417724609375,551.665,5
