cell_index,raw_cell,start_time,end_time,duration,wallclock_start_time,wallclock_end_time,cell_magics
0,%reload_ext bali,11775405.675457792,11775459.78787583,54.11241803690791,1773396562.4389205,1773396616.5513403,['reload_ext bali']
1,%perfmonitor_start,11775459.793823445,11775459.801890435,0.008066989481449127,1773396616.5572865,1773396616.5653548,['perfmonitor_start']
2,#facebook/opt-1.3b facebook/opt-6.7b facebook/opt-13b #1 2 4 8 16 32 64 128 ,11775459.806890989,11775459.82771952,0.020828532055020332,1773396616.5703535,1773396616.5911832,[]
3,"%%bali_config
model_name:facebook/opt-1.3b  
frameworks: hf_accelerate
batch_size: 1 2 4 8 16 32 64 128 256
input_len: 512
output_len: 128
warm_up_reps: 0
num_samples: 512
data: BALI/bali/data/prompts.txt
repeats: 1",11775459.832639595,11775459.861350844,0.02871124818921089,1773396616.5961022,1773396616.6248145,[]
4,%bali_config_show,11775459.866296249,11775459.894170675,0.027874426916241646,1773396616.6297588,1773396616.6576343,[]
5,%bali_run,11775459.899102852,11777135.177691927,1675.2785890754312,1773396616.6625655,1773398291.9411557,[]
6,%matplotlib ipympl,11777135.182147993,11777135.244795157,0.06264716386795044,1773398291.9456105,1773398292.0082593,['matplotlib ipympl']
7,%perfmonitor_plot,11777135.248385029,11777135.515251247,0.26686621829867363,1773398292.0118477,1773398292.2787147,['perfmonitor_plot']
