time,memory,io_read_count,io_write_count,io_read,io_write,cpu_util_avg,cpu_util_min,cpu_util_max,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,cpu_util_6,cpu_util_7,cpu_util_8,cpu_util_9,cpu_util_10,cpu_util_11,cpu_util_12,cpu_util_13,cpu_util_14,cpu_util_15,cpu_util_16,cpu_util_17,cpu_util_18,cpu_util_19,cpu_util_20,cpu_util_21,cpu_util_22,cpu_util_23,cpu_util_24,cpu_util_25,cpu_util_26,cpu_util_27,cpu_util_28,cpu_util_29,cpu_util_30,cpu_util_31,cpu_util_32,cpu_util_33,cpu_util_34,cpu_util_35,cpu_util_36,cpu_util_37,cpu_util_38,cpu_util_39,cpu_util_40,cpu_util_41,cpu_util_42,cpu_util_43,cpu_util_44,cpu_util_45,cpu_util_46,cpu_util_47,cpu_util_48,cpu_util_49,cpu_util_50,cpu_util_51,cpu_util_52,cpu_util_53,cpu_util_54,cpu_util_55,cpu_util_56,cpu_util_57,cpu_util_58,cpu_util_59,cpu_util_60,cpu_util_61,cpu_util_62,cpu_util_63,gpu_util_avg,gpu_util_min,gpu_util_max,gpu_band_avg,gpu_band_min,gpu_band_max,gpu_mem_avg,gpu_mem_min,gpu_mem_max,gpu_power_avg,gpu_power_min,gpu_power_max,gpu_util_0,gpu_band_0,gpu_mem_0,gpu_power_0,cell_index
11775469.849995285,81.39827728271484,85689927.47329551,195527.23778720523,2074933.0171384267,12875121.4754859,13.2296875,0.0,100.0,52.8,79.2,22.6,11.1,0.9,7.5,41.1,51.4,37.9,3.7,29.6,55.0,0.0,0.0,50.5,50.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.8,0.9,0.0,0.9,0.0,0.9,0.9,0.0,83.0,0.9,0.9,0.0,0.0,0.0,100.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,34.0,50.5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,35.8,38.4,56.0,56,56,0.0,0.0,0.0,6.4652099609375,6.4652099609375,6.4652099609375,231.652,231.652,231.652,56,0.0,6.4652099609375,231.652,5
11775470.839362344,81.39490127563477,87571344.98828,199745.8863240196,2119690.5455677523,13152845.436071776,13.4140625,0.0,100.0,25.0,84.3,45.5,45.6,3.3,37.8,38.5,51.6,19.6,17.0,11.1,6.5,0.0,0.0,53.3,52.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,2.2,0.0,1.1,0.0,0.0,1.1,76.1,0.0,0.0,1.1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.7,50.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,3.2,0.0,0.0,0.0,0.0,36.0,38.3,63.0,63,63,0.0,0.0,0.0,6.4652099609375,6.4652099609375,6.4652099609375,253.48,253.48,253.48,63,0.0,6.4652099609375,253.48,5
11775471.840186143,81.39904022216797,86601552.68240568,197467.32651106015,2095425.7892390976,13002280.727368385,13.159374999999999,0.0,100.0,34.0,78.6,64.3,23.5,1.0,31.6,37.3,50.0,5.0,0.0,0.0,0.0,0.0,0.0,49.5,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,26.3,85.6,2.0,0.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,35.7,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,7.0,0.0,0.0,0.0,0.0,36.4,39.4,92.0,92,92,0.0,0.0,0.0,6.4652099609375,6.4652099609375,6.4652099609375,256.773,256.773,256.773,92,0.0,6.4652099609375,256.773,5
11775472.823241267,81.40215301513672,88200126.1963495,201044.6771122004,2133300.512528994,13241462.946908481,13.3203125,0.0,100.0,41.1,77.4,29.2,37.2,18.6,27.8,38.6,50.0,6.2,0.0,1.0,0.0,0.0,0.0,51.0,50.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,55.7,77.9,0.0,1.0,0.0,0.0,0.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,35.8,50.5,0.0,1.0,0.0,0.0,0.0,0.0,16.5,0.0,2.0,1.0,0.0,0.0,0.0,0.0,36.5,39.0,61.0,61,61,0.0,0.0,0.0,6.4652099609375,6.4652099609375,6.4652099609375,259.087,259.087,259.087,61,0.0,6.4652099609375,259.087,5
11775473.83675841,81.3985710144043,85584173.47112565,195014.9549271702,2069182.5629793163,12843480.83036771,13.7,0.0,100.0,38.4,85.7,22.4,10.9,41.8,50.0,41.0,51.0,4.0,0.0,4.0,0.0,0.0,0.0,51.5,51.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,1.0,1.0,3.0,2.0,0.0,1.0,10.0,78.4,2.9,1.0,0.0,0.0,2.0,100.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,35.7,49.5,1.0,2.9,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.9,1.0,1.0,0.0,0.0,33.3,38.5,72.0,72,72,0.0,0.0,0.0,6.4652099609375,6.4652099609375,6.4652099609375,260.406,260.406,260.406,72,0.0,6.4652099609375,260.406,5
11775474.837110508,81.38475799560547,86745946.95374419,197593.42781343125,2096413.857554489,13012506.326773763,13.2328125,0.0,100.0,25.2,79.6,11.5,1.0,56.3,35.8,38.2,50.5,20.2,11.4,0.0,0.0,0.0,0.0,51.9,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2,34.0,2.8,0.9,1.9,0.9,0.0,1.9,86.7,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,36.2,50.5,0.0,0.0,0.9,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,36.2,37.4,79.0,79,79,0.0,0.0,0.0,6.4652099609375,6.4652099609375,6.4652099609375,254.783,254.783,254.783,79,0.0,6.4652099609375,254.783,5
11775475.848819872,81.39736557006836,85804458.35307266,195375.27970768852,2072879.8945151009,12866430.282751935,13.0671875,0.0,100.0,3.8,77.8,1.0,1.0,37.0,52.0,38.7,50.5,39.4,26.5,3.9,0.0,0.0,0.0,51.0,51.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.4,1.9,0.0,1.0,21.8,1.0,0.0,1.0,78.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.3,50.5,1.9,1.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,37.1,62.0,62,62,0.0,0.0,0.0,6.4652099609375,6.4652099609375,6.4652099609375,230.671,230.671,230.671,62,0.0,6.4652099609375,230.671,5
11775476.849519512,81.39582443237305,86781152.49344826,197535.79618980433,2095685.775828083,13007987.100745406,13.129687500000001,0.0,100.0,3.0,78.4,0.0,0.0,55.7,30.5,38.8,50.0,16.0,37.1,22.0,0.0,0.0,0.0,50.0,48.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.4,1.0,2.0,0.0,77.9,3.0,1.0,0.0,0.0,0.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,36.7,50.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,35.1,38.2,58.0,58,58,0.0,0.0,0.0,6.4652099609375,6.4652099609375,6.4652099609375,240.415,240.415,240.415,58,0.0,6.4652099609375,240.415,5
11775477.847718198,81.3987045288086,87031331.74171874,198040.73351265542,2100936.4458809635,13040578.173847074,13.546875,0.0,100.0,1.0,84.0,5.1,1.0,30.9,56.4,38.0,50.5,5.2,40.9,27.7,0.0,1.0,0.0,49.0,50.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.2,1.0,1.0,5.2,1.0,1.0,1.0,83.5,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.3,52.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,2.0,39.8,1.0,0.0,0.0,0.0,0.0,35.4,38.0,70.0,70,70,0.0,0.0,0.0,6.4652099609375,6.4652099609375,6.4652099609375,244.642,244.642,244.642,70,0.0,6.4652099609375,244.642,5
11775478.84965248,81.39567947387695,86742197.08775157,197309.34798472334,2093103.3468638356,12991957.883463418,13.134375,0.0,100.0,3.9,80.0,31.3,1.9,10.6,58.4,38.0,49.5,1.9,24.5,39.6,1.0,0.0,0.0,51.0,49.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,1.0,80.8,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.7,10.7,0.0,0.0,0.0,0.0,35.0,38.1,59.0,59,59,0.0,0.0,0.0,6.4652099609375,6.4652099609375,6.4652099609375,230.693,230.693,230.693,59,0.0,6.4652099609375,230.693,5
